t[s],         y(t)[m],       vy(t)[m/s]
0.000000      100.000000     0.000000
0.100000      99.901900      0.981000
0.200000      99.705700      1.962000
0.300000      99.411400      2.943000
0.400000      99.019000      3.924000
0.500000      98.528500      4.905000
0.600000      97.939900      5.886000
0.700000      97.253200      6.867000
0.800000      96.468400      7.848000
0.900000      95.585500      8.829000
1.000000      94.604500      9.810000
1.100000      93.525400      10.791000
1.200000      92.348200      11.772000
1.300000      91.072900      12.753000
1.400000      89.699500      13.734000
1.500000      88.228000      14.715000
1.600000      86.658400      15.696000
1.700000      84.990700      16.677000
1.800000      83.224900      17.658000
1.900000      81.361000      18.639000
2.000000      79.399000      19.620000
2.100000      77.338900      20.601000
2.200000      75.180700      21.582000
2.300000      72.924400      22.563000
2.400000      70.570000      23.544000
2.500000      68.117500      24.525000
2.600000      65.566900      25.506000
2.700000      62.918200      26.487000
2.800000      60.171400      27.468000
2.900000      57.326500      28.449000
3.000000      54.383500      29.430000
3.100000      51.342400      30.411000
3.200000      48.203200      31.392000
3.300000      44.965900      32.373000
3.400000      41.630500      33.354000
3.500000      38.197000      34.335000
3.600000      34.665400      35.316000
3.700000      31.035700      36.297000
3.800000      27.307900      37.278000
3.900000      23.482000      38.259000
4.000000      19.558000      39.240000
4.100000      15.535900      40.221000
4.200000      11.415700      41.202000
4.300000      7.197400      42.183000
4.400000      2.881000      43.164000
4.500000      -1.533500      44.145000
